Offence,Year,Number,Rate,State
Sexual assault and related offences,2016,189,33.0,Victoria
Dangerous/negligent acts,2016,92,16.1,Victoria
Abduction/harassment,2016,107,18.7,Victoria
Robbery/extortion,2016,200,35.0,Victoria
Unlawful entry with intent,2016,516,90.2,Victoria
Theft,2016,1776,310.5,Victoria
Fare evasion,2016,548,95.8,Victoria
Fraud/deception,2016,122,21.3,Victoria
Illicit drug offences,2016,442,77.3,Victoria
Weapons/explosives,2016,295,51.6,Victoria
Property damage and environmental pollution,2016,751,131.3,Victoria
Public order offences,2016,642,112.2,Victoria
Offences against justice,2016,76,13.3,Victoria
Miscellaneous offences,2016,733,128.1,Victoria
Acts intended to cause injury,2017,1853,317.4,Victoria
Sexual assault and related offences,2017,164,28.1,Victoria
Dangerous/negligent acts,2017,59,10.1,Victoria
Abduction/harassment,2017,124,21.2,Victoria
Robbery/extortion,2017,256,43.8,Victoria
Unlawful entry with intent,2017,429,73.5,Victoria
Theft,2017,1678,287.4,Victoria
Fare evasion,2017,692,118.5,Victoria
Fraud/deception,2017,136,23.3,Victoria
Illicit drug offences,2017,401,68.7,Victoria
Weapons/explosives,2017,416,71.3,Victoria
Property damage and environmental pollution,2017,745,127.6,Victoria
Public order offences,2017,607,104.0,Victoria
Offences against justice,2017,109,18.7,Victoria
Miscellaneous offences,2017,659,112.9,Victoria
Acts intended to cause injury,2018,1871,313.9,Victoria
Sexual assault and related offences,2018,164,27.5,Victoria
Dangerous/negligent acts,2018,51,8.6,Victoria
Abduction/harassment,2018,130,21.8,Victoria
Robbery/extortion,2018,350,58.7,Victoria
Unlawful entry with intent,2018,389,65.3,Victoria
Theft,2018,1495,250.8,Victoria
Fare evasion,2018,665,111.6,Victoria
Fraud/deception,2018,141,23.7,Victoria
Illicit drug offences,2018,481,80.7,Victoria
Weapons/explosives,2018,452,75.8,Victoria
Property damage and environmental pollution,2018,625,104.9,Victoria
Public order offences,2018,654,109.7,Victoria
Offences against justice,2018,115,19.3,Victoria
Miscellaneous offences,2018,597,100.2,Victoria
Acts intended to cause injury,2019,1945,319.5,Victoria
Sexual assault and related offences,2019,164,26.9,Victoria
Dangerous/negligent acts,2019,52,8.5,Victoria
Abduction/harassment,2019,136,22.3,Victoria
Robbery/extortion,2019,419,68.8,Victoria
Unlawful entry with intent,2019,360,59.1,Victoria
Theft,2019,1323,217.3,Victoria
Fare evasion,2019,510,83.8,Victoria
Fraud/deception,2019,114,18.7,Victoria
Illicit drug offences,2019,519,85.3,Victoria
