Offence,Year,Number,Rate,State,Sex
Acts intended to cause injury,2011,5511.0,172.0,New South Wales,Female
Sexual assault and related offences,2011,42.0,1.3,New South Wales,Female
Dangerous/negligent acts,2011,24.0,0.7,New South Wales,Female
Abduction/harassment,2011,141.0,4.4,New South Wales,Female
Robbery/extortion,2011,141.0,4.4,New South Wales,Female
Unlawful entry with intent,2011,291.0,9.1,New South Wales,Female
Theft,2011,7836.0,244.6,New South Wales,Female
Fraud/deception,2011,870.0,27.2,New South Wales,Female
Illicit drug offences,2011,2093.0,65.3,New South Wales,Female
Weapons/explosives,2011,89.0,2.8,New South Wales,Female
Property damage and environmental pollution,2011,1111.0,34.7,New South Wales,Female
Public order offences,2011,2293.0,71.6,New South Wales,Female
Offences against justice,2011,1464.0,45.7,New South Wales,Female
Miscellaneous offences,2011,1710.0,53.4,New South Wales,Female
Homicide and related offences,2012,35.0,1.1,New South Wales,Female
Acts intended to cause injury,2012,5398.0,166.4,New South Wales,Female
Sexual assault and related offences,2012,36.0,1.1,New South Wales,Female
Dangerous/negligent acts,2012,26.0,0.8,New South Wales,Female
Abduction/harassment,2012,171.0,5.3,New South Wales,Female
Robbery/extortion,2012,143.0,4.4,New South Wales,Female
Unlawful entry with intent,2012,303.0,9.3,New South Wales,Female
Theft,2012,7553.0,232.9,New South Wales,Female
Fraud/deception,2012,1029.0,31.7,New South Wales,Female
Illicit drug offences,2012,2366.0,72.9,New South Wales,Female
Weapons/explosives,2012,110.0,3.4,New South Wales,Female
Property damage and environmental pollution,2012,1092.0,33.7,New South Wales,Female
Public order offences,2012,2615.0,80.6,New South Wales,Female
Offences against justice,2012,1640.0,50.6,New South Wales,Female
Miscellaneous offences,2012,1866.0,57.5,New South Wales,Female
Homicide and related offences,2013,37.0,1.1,New South Wales,Female
Acts intended to cause injury,2013,5688.0,172.9,New South Wales,Female
Sexual assault and related offences,2013,48.0,1.5,New South Wales,Female
Dangerous/negligent acts,2013,43.0,1.3,New South Wales,Female
Abduction/harassment,2013,153.0,4.7,New South Wales,Female
Robbery/extortion,2013,133.0,4.0,New South Wales,Female
Unlawful entry with intent,2013,295.0,9.0,New South Wales,Female
Theft,2013,4474.0,136.0,New South Wales,Female
Fare evasion,2013,3962.0,120.4,New South Wales,Female
Fraud/deception,2013,1235.0,37.5,New South Wales,Female
Illicit drug offences,2013,2638.0,80.2,New South Wales,Female
Weapons/explosives,2013,108.0,3.3,New South Wales,Female
Property damage and environmental pollution,2013,1095.0,33.3,New South Wales,Female
Public order offences,2013,3173.0,96.5,New South Wales,Female
Offences against justice,2013,1542.0,46.9,New South Wales,Female
Miscellaneous offences,2013,667.0,20.3,New South Wales,Female
Homicide and related offences,2014,46.0,1.4,New South Wales,Female
Acts intended to cause injury,2014,5670.0,169.9,New South Wales,Female
Sexual assault and related offences,2014,64.0,1.9,New South Wales,Female
Dangerous/negligent acts,2014,32.0,1.0,New South Wales,Female
Abduction/harassment,2014,203.0,6.1,New South Wales,Female
Robbery/extortion,2014,139.0,4.2,New South Wales,Female
Unlawful entry with intent,2014,285.0,8.5,New South Wales,Female
Theft,2014,4017.0,120.4,New South Wales,Female
Fare evasion,2014,5243.0,157.1,New South Wales,Female
Fraud/deception,2014,1338.0,40.1,New South Wales,Female
Illicit drug offences,2014,2869.0,86.0,New South Wales,Female
Weapons/explosives,2014,122.0,3.7,New South Wales,Female
Property damage and environmental pollution,2014,1054.0,31.6,New South Wales,Female
Public order offences,2014,3360.0,100.7,New South Wales,Female
Offences against justice,2014,1321.0,39.6,New South Wales,Female
Miscellaneous offences,2014,547.0,16.4,New South Wales,Female
Homicide and related offences,2015,43.0,1.3,New South Wales,Female
Acts intended to cause injury,2015,5910.0,174.5,New South Wales,Female
Sexual assault and related offences,2015,91.0,2.7,New South Wales,Female
Dangerous/negligent acts,2015,43.0,1.3,New South Wales,Female
Abduction/harassment,2015,184.0,5.4,New South Wales,Female
Robbery/extortion,2015,113.0,3.3,New South Wales,Female
Unlawful entry with intent,2015,321.0,9.5,New South Wales,Female
Theft,2015,4456.0,131.6,New South Wales,Female
Fare evasion,2015,5767.0,170.3,New South Wales,Female
Fraud/deception,2015,1302.0,38.5,New South Wales,Female
Illicit drug offences,2015,3297.0,97.4,New South Wales,Female
Weapons/explosives,2015,183.0,5.4,New South Wales,Female
Property damage and environmental pollution,2015,1021.0,30.2,New South Wales,Female
Public order offences,2015,3485.0,102.9,New South Wales,Female
Offences against justice,2015,1438.0,42.5,New South Wales,Female
Miscellaneous offences,2015,533.0,15.7,New South Wales,Female
Homicide and related offences,2016,33.0,1.0,New South Wales,Female
Acts intended to cause injury,2016,6268.0,182.1,New South Wales,Female
Sexual assault and related offences,2016,72.0,2.1,New South Wales,Female
Dangerous/negligent acts,2016,49.0,1.4,New South Wales,Female
Abduction/harassment,2016,199.0,5.8,New South Wales,Female
Robbery/extortion,2016,103.0,3.0,New South Wales,Female
Unlawful entry with intent,2016,312.0,9.1,New South Wales,Female
Theft,2016,4744.0,137.8,New South Wales,Female
Fare evasion,2016,6738.0,195.7,New South Wales,Female
Fraud/deception,2016,1244.0,36.1,New South Wales,Female
Illicit drug offences,2016,3362.0,97.7,New South Wales,Female
Weapons/explosives,2016,192.0,5.6,New South Wales,Female
Property damage and environmental pollution,2016,1000.0,29.1,New South Wales,Female
Public order offences,2016,3382.0,98.3,New South Wales,Female
Offences against justice,2016,1184.0,34.4,New South Wales,Female
Miscellaneous offences,2016,473.0,13.7,New South Wales,Female
Homicide and related offences,2017,46.0,1.3,New South Wales,Female
Acts intended to cause injury,2017,6562.0,187.9,New South Wales,Female
Sexual assault and related offences,2017,111.0,3.2,New South Wales,Female
Dangerous/negligent acts,2017,40.0,1.1,New South Wales,Female
Abduction/harassment,2017,185.0,5.3,New South Wales,Female
Robbery/extortion,2017,120.0,3.4,New South Wales,Female
Unlawful entry with intent,2017,322.0,9.2,New South Wales,Female
Theft,2017,4645.0,133.0,New South Wales,Female
Fare evasion,2017,6279.0,179.8,New South Wales,Female
